"Status","Progress","Duration (in seconds)","Finished","DistributionChannel","UserLanguage","Consent","DGS_1","DGS_2","DGS_3","DGS_4","DGS_5","DGS_6","DGS_7","DGS_8","DGS_9","DGS_10","DGS_11","DGS_12","DGS_13","DGS_14","DGS_15","DGS_16","DGS_17","DGS_18","DGS_19","DGS_20","DGS_21","DGS_22","DGS_23","DGS_24","DGS_25","DGS_26","DGS_27","DGS_28","DGS_29","DGS_30","DGS_31","DGS_32","DGS_33","DGS_34","DGS_35","DGS_36","DGS_37","DGS_38","DGS_39","DGS_40","DGS_41","DGS_42","DGS_43","DGS_44","DGS_45","DGS_46","DGS_47","DGS_48","DGS_49","DGS_50","DGS_51","DGS_52","DGS_53","DGS_54","DGS_55","DGS_56","DGS_57","DGS_58","DGS_59","DGS_60","DGS_61","DGS_62","DGS_63","DGS_64","DGS_65","DGS_66","DGS_67","DGS_68","DGS_69","DGS_70","DGS_71","DGS_72","DGS_73","DGS_74","DGS_75","HEXACO_C_1","HEXACO_C_2","HEXACO_C_3","HEXACO_C_4","HEXACO_C_5","HEXACO_C_6","HEXACO_C_7","HEXACO_C_8","HEXACO_C_9","HEXACO_C_10","Age","Gender","Race","Degree","Income","Religion"
"Response Type","Progress","Duration (in seconds)","Finished","Distribution Channel","User Language","Attitudes toward helping and morality 



Study Description

 

You are invited to participate in a research study supported by Wake Forest University. If you decide to participate, you will be asked to complete some self-evaluation questions about your attitudes toward helping and personality traits. This study will take approximately 20 minutes to complete. Although we cannot tell you the specific hypotheses of the study before the end of the study, the purpose of this study is to discover how scores on the questionnaire relate to each other. 



Possible Risks or Benefits



Participating in this study does not pose any significant risk beyond that which you would normally expect to encounter during everyday life. There is a risk of possible emotional reaction to the content of the surveys, but we do not judge this risk to be more than minimal. Although we cannot promise you any direct benefit from your participation in the study, the information we gain from this study may someday be used to help others gain insight into how they typically think and act.



Compensation



As compensation for agreeing to participate in this study, you will receive $3. Due to the layout of the Qualtrics Platform, participants will not be compensated if they withdraw before completing the survey.  



Inclusion criteria



You must be 18 or older to participate in this study. 



Participation is Voluntary



Your participation in this study is completely voluntary. If you choose not to participate, you can close the survey window and be excused from the study at any time. If at any time you should feel uncomfortable about answering any questions or participating in the discussion, you can skip the question or be excused from the study at any time. You may let the study coordinator know of any questions or concerns on Prolific using the messaging system. 



Confidentiality



The researchers will take the following precautions to protect your information: The questionnaire will be conducted via Qualtrics, an online survey tool that is account-based, password protected, and protected from third-party advertising and influence. Only the researchers will know the account’s username and password, which will be stored on password-protected laptop computers. All Qualtrics accounts are hidden behind passwords and all data will be assigned a random identification number and the ID number will be deleted from the file. All physical records of data from this study will be kept in a locked cabinet in a locked room and only authorized study team members will have access to them. 



Your data will be used only for scientific purposes, and once the data is no longer needed, it will be destroyed.



Question/Concerns

 

If you have any questions or concerns, please feel free to contact the study’s faculty member, Mason Garrison, at garrissm@wfu.edu or Student Co-Principal Investigator, Qilin Zhang, at Zhanq22@wfu.edu. If you have questions regarding your rights as a participant, contact the Office of Research and Sponsored Programs, at (336) 758-5888 or at irb@wfu.edu. The IRB number of this study is IRB00024972.



By clicking “I Agree” below, you indicate that you have read the information provided above and you agree to participate in this research project.","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - To do anything substantial to help the world would require an intimidating amount of sacrifice","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I spend most of my time on myself","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Being an extremely moral person will make me miserable","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I communicate with the people I help to ensure my actions are effective in addressing their problems","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I help only when I am asked to do so","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I care about strangers almost as much as I care about my family","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - My purpose in life is to help others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I don’t think it is worth making self-sacrifice to help others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Thinking about other people’s experiences does not affect me emotionally","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I am willing to help only when I can get something in return","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I spend most of my money on myself","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I will listen closely to the people that I help","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I rarely make donations to help others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I would not help others if helping involves a significant financial burden","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I am happy to help despite not everyone doing it","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I care about people’s history when dealing with them","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - When I help others, I am motivated by the urge to do good","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I help everyone as I can, not just my close friends","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I help in ways that optimize happiness for everyone","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I tend to think about the horrible things that would happen if I don’t help people who suffer","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - There is too much need in the world for me to be able to do anything about it","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - When I help, I will make sure that my efforts count","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Helping others, especially strangers, deserves constant praise","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I would rather donate my money than spend it unnecessarily","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - When I help people, I make sure that I do not just help those around me","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I only help when other people help","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Even the most generic/basic description of others’ unfortunate experiences evokes my empathy","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I feel guilty when I spend too much time on myself because it can be better used for moral causes","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Thinking about the horrors people have endured in the past almost brings me to tears","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I will do my best to help despite not knowing the people I help","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Please choose “Neither agree nor disagree” for this question","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I try, more than anything else, to do good","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I help because I think it is the best thing to do","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - We need to develop an understanding of others to provide better help","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I feel bad when I waste my time because it could be used to help others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Fighting for the greater good is rooted in my values","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - If I think something is right, I will do it despite any hardship","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I would always save people I love before I would save people I don’t know","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I care about everyone in the world as I would care for my own child","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Most of us give less than we should for helping strangers","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - When I help someone, I expect them to return the favor","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I don’t think doing good deserves special praise because it is part of everyday life","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Caring about others, even those we do not know, is not a special feeling only for the hard times","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - The problems of the world are so large there is no point in trying to do anything about them","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Some people are more important than others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I feel great concern for the people who have to suffer in the world right now","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I often need vivid presentations to understand the suffering others are going through","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I spend little time on myself so that I can have more time to help others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I am always seeking more ways to help","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I think people always need advice about what they should do","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I can hardly feel others’ emotions unless they are in front of me","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Thinking about the suffering of others, even of those who I don’t know, will put me in deep sorrow","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Please choose “Disagree” for this question","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - The world is fine where it is right now","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I treat everyone equally, regardless of who they were in the past","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I will seek out opportunities when I can help others, not just when people express needs","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - It is important to help others, regardless of the rewards","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - If we each help others as we can, the world would be a better place","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I push myself to the extremes of moral goodness","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I seek to make the world a better place than it is right now","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I will keep contributing to the greater good despite only being able to make small contributions","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - The sacrifice of others can be justified when it is used to protect the people I love","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I believe small efforts combine to make substantial changes","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I am committed to helping others even if that involves huge self-sacrifice","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - The needs of the world seem too large for me to have any impact on them","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I tend to turn away when some issues seem too hard to address","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I see all people in the world as our people- no one is more important than the others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Whenever I spend unnecessary money on myself, I feel bad for not contributing them to those in need","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - There is no point in helping when others are not doing the same thing","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I value the importance of some people more than others","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - If I only have a chance, I am more willing to save the people that are close to me compared to strangers","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - Helping acts should build on the potential benefits that I can gain","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I rarely volunteer for non-profit organizations","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - My efforts in helping will still count although nobody sees it","On the following pages, you will find a series of statements. Please read each statement carefully and decide how much you agree or disagree with that statement. Then, from 1-7, rate how much you agree with the following statements. - I try to figure out the best way to help others instead of choosing the most simple ways","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - I plan ahead and organize things, to avoid scrambling at the last minute","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - When working, I sometimes have difficulties due to being disorganized","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - I often push myself very hard when trying to achieve a goal","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - When working on something, I don't pay much attention to small details","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - I do only the minimum amount of work needed to get by","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - I always try to be accurate in my work, even at the expense of time","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - I make decisions based on the feeling of the moment rather than on careful thought","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - I make a lot of mistakes because I don’t think before I act","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - People often call me a perfectionist","On the following pages, you will find a series of statements about you. Please read each statement and decide how much you agree or disagree with that statement. Then write your response in the space next to the statement using the following scale:



Please answer every statement, even if you are not completely sure of your response. - I prefer to do whatever comes to mind, rather than stick to a plan","Please indicate your age in years.","What gender do you identify as? - Selected Choice","Please indicate your race (select all that apply). - Selected Choice","Please indicate the highest degree or level of education that you have completed - Selected Choice","What is your household income?","What is your present religion, if any? - Selected Choice"
"{""""ImportId"""":""""status""""}","{""""ImportId"""":""""progress""""}","{""""ImportId"""":""""duration""""}","{""""ImportId"""":""""finished""""}","{""""ImportId"""":""""distributionChannel""""}","{""""ImportId"""":""""userLanguage""""}","{""""ImportId"""":""""QID2""""}","{""""ImportId"""":""""QID1_1""""}","{""""ImportId"""":""""QID1_2""""}","{""""ImportId"""":""""QID1_3""""}","{""""ImportId"""":""""QID1_4""""}","{""""ImportId"""":""""QID1_5""""}","{""""ImportId"""":""""QID1_6""""}","{""""ImportId"""":""""QID1_7""""}","{""""ImportId"""":""""QID1_8""""}","{""""ImportId"""":""""QID1_9""""}","{""""ImportId"""":""""QID1_10""""}","{""""ImportId"""":""""QID1_11""""}","{""""ImportId"""":""""QID1_12""""}","{""""ImportId"""":""""QID1_13""""}","{""""ImportId"""":""""QID1_14""""}","{""""ImportId"""":""""QID1_15""""}","{""""ImportId"""":""""QID1_16""""}","{""""ImportId"""":""""QID1_17""""}","{""""ImportId"""":""""QID1_18""""}","{""""ImportId"""":""""QID1_19""""}","{""""ImportId"""":""""QID1_20""""}","{""""ImportId"""":""""QID1_21""""}","{""""ImportId"""":""""QID1_22""""}","{""""ImportId"""":""""QID1_23""""}","{""""ImportId"""":""""QID1_24""""}","{""""ImportId"""":""""QID1_25""""}","{""""ImportId"""":""""QID1_26""""}","{""""ImportId"""":""""QID1_27""""}","{""""ImportId"""":""""QID1_28""""}","{""""ImportId"""":""""QID1_29""""}","{""""ImportId"""":""""QID1_30""""}","{""""ImportId"""":""""QID1_31""""}","{""""ImportId"""":""""QID1_32""""}","{""""ImportId"""":""""QID1_33""""}","{""""ImportId"""":""""QID1_34""""}","{""""ImportId"""":""""QID1_35""""}","{""""ImportId"""":""""QID1_36""""}","{""""ImportId"""":""""QID1_37""""}","{""""ImportId"""":""""QID1_38""""}","{""""ImportId"""":""""QID1_39""""}","{""""ImportId"""":""""QID1_40""""}","{""""ImportId"""":""""QID1_41""""}","{""""ImportId"""":""""QID1_42""""}","{""""ImportId"""":""""QID1_43""""}","{""""ImportId"""":""""QID1_44""""}","{""""ImportId"""":""""QID1_45""""}","{""""ImportId"""":""""QID1_46""""}","{""""ImportId"""":""""QID1_47""""}","{""""ImportId"""":""""QID1_48""""}","{""""ImportId"""":""""QID1_49""""}","{""""ImportId"""":""""QID1_50""""}","{""""ImportId"""":""""QID1_51""""}","{""""ImportId"""":""""QID1_52""""}","{""""ImportId"""":""""QID1_53""""}","{""""ImportId"""":""""QID1_54""""}","{""""ImportId"""":""""QID1_55""""}","{""""ImportId"""":""""QID1_56""""}","{""""ImportId"""":""""QID1_57""""}","{""""ImportId"""":""""QID1_58""""}","{""""ImportId"""":""""QID1_59""""}","{""""ImportId"""":""""QID1_60""""}","{""""ImportId"""":""""QID1_61""""}","{""""ImportId"""":""""QID1_62""""}","{""""ImportId"""":""""QID1_63""""}","{""""ImportId"""":""""QID1_64""""}","{""""ImportId"""":""""QID1_65""""}","{""""ImportId"""":""""QID1_66""""}","{""""ImportId"""":""""QID1_67""""}","{""""ImportId"""":""""QID1_68""""}","{""""ImportId"""":""""QID1_69""""}","{""""ImportId"""":""""QID1_70""""}","{""""ImportId"""":""""QID1_71""""}","{""""ImportId"""":""""QID1_72""""}","{""""ImportId"""":""""QID1_73""""}","{""""ImportId"""":""""QID1_74""""}","{""""ImportId"""":""""QID1_75""""}","{""""ImportId"""":""""QID4_1""""}","{""""ImportId"""":""""QID4_2""""}","{""""ImportId"""":""""QID4_3""""}","{""""ImportId"""":""""QID4_4""""}","{""""ImportId"""":""""QID4_5""""}","{""""ImportId"""":""""QID4_6""""}","{""""ImportId"""":""""QID4_7""""}","{""""ImportId"""":""""QID4_8""""}","{""""ImportId"""":""""QID4_9""""}","{""""ImportId"""":""""QID4_10""""}","{""""ImportId"""":""""QID6_TEXT""""}","{""""ImportId"""":""""QID7""""}","{""""ImportId"""":""""QID8""""}","{""""ImportId"""":""""QID9""""}","{""""ImportId"""":""""QID10""""}","{""""ImportId"""":""""QID11""""}"
"0","100","536","1","anonymous","EN","1","3","1","2","4","2","2","4","4","2","2","3","6","3","4","5","5","4","5","5","4","3","4","2","4","5","2","5","5","5","5","4","5","4","5","5","6","5","7","2","2","2","6","6","2","5","5","2","6","5","3","3","4","2","3","5","4","5","4","4","5","5","6","5","5","3","3","4","3","2","5","7","3","2","5","5","5","1","5","1","1","4","2","1","5","2","49","2","6","5","9","1"
"0","100","775","1","anonymous","EN","1","5","1","2","6","1","7","6","1","1","1","1","7","1","1","6","3","7","7","7","5","1","6","1","6","6","1","6","6","7","7","4","6","6","1","6","6","6","1","7","7","1","1","7","1","1","7","1","6","6","5","1","6","2","1","7","5","7","7","6","7","6","4","6","6","3","1","7","7","1","1","1","1","6","7","6","4","1","5","1","1","5","1","2","5","1","34","2","2","1","4","1"
"0","100","557","1","anonymous","EN","1","4","2","2","2","2","1","4","2","2","2","2","4","3","4","5","4","6","1","4","2","4","5","2","4","4","2","4","2","2","4","4","6","5","4","4","6","5","7","1","4","2","5","4","4","7","5","2","4","4","2","2","2","2","2","4","2","4","4","5","4","4","6","5","4","2","2","4","2","2","7","7","3","7","6","2","5","1","5","1","2","5","1","1","5","2","54","2","6","4","12","2"
"0","100","497","1","anonymous","EN","1","6","5","1","6","3","3","5","2","2","1","2","6","3","3","6","6","6","6","5","6","5","6","5","6","3","2","6","5","5","6","4","6","6","6","5","5","6","6","6","5","6","6","6","1","4","5","2","3","5","6","1","6","2","3","5","6","6","6","3","6","5","6","6","6","3","3","6","3","2","6","5","6","6","7","6","5","1","4","1","1","5","1","1","4","2","30","1","1","7","4","6"
"0","100","434","1","anonymous","EN","1","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","5","5","5","5","5","5","5","5","5","5","21","1","3","3","11","10"
"0","100","743","1","anonymous","EN","1","5","4","4","3","5","2","4","5","4","4","3","5","4","6","5","4","4","3","4","2","6","4","3","4","5","3","6","2","4","5","4","4","5","4","5","6","3","3","3","5","5","4","6","3","2","6","4","3","3","4","5","3","2","5","3","3","5","3","3","3","5","4","5","3","2","6","5","3","5","3","5","3","4","5","2","3","3","2","2","4","2","3","4","3","4","34","1","6","5","3","2"
"0","100","648","1","anonymous","EN","1","2","6","6","4","4","3","4","4","3","2","4","4","6","5","5","4","4","4","4","2","5","5","2","4","4","3","4","3","4","4","4","4","5","6","3","6","4","5","2","4","4","6","6","2","5","5","2","3","4","3","4","4","2","2","2","4","6","5","2","6","4","2","6","4","5","4","3","4","2","5","5","2","6","4","5","3","3","4","2","4","4","3","3","4","3","37","2","6","5","1","12"
"0","100","310","1","anonymous","EN","1","2","4","2","5","2","4","5","2","2","2","5","6","2","4","5","6","6","6","5","3","2","6","3","4","5","3","5","4","4","6","4","6","5","6","3","6","5","6","4","6","2","5","6","2","1","2","2","3","4","3","1","3","2","2","6","6","6","6","4","6","6","4","6","5","4","2","6","4","2","2","6","2","2","6","5","4","1","5","1","1","4","2","1","5","2","25","2","6","5","4","2"
